schema_variant,retriever,query_mode,case_id,db_id,question,search_expressions,table_recall_at_5,column_recall_at_10,mrr_table,mrr_column,planner_latency_ms,query_embedding_ms,keyword_recall_ms,vector_recall_ms,merge_ms,rerank_ms,retrieval_only_ms,query_preprocess_ms,e2e_ms,vector_available,db_search_call_count,failure_class,failure_reason
base,keyword,single,spider_concert_singer_001,concert_singer,How many singers do we have?,"[""How many singers do we have?""]",False,True,0.0,0.0,0.0,0.0,18.926,0.0,0.044,0.0,20.32,0.0,20.32,,1,retrieval_miss,missing expected tables in retrieval: singer
base,keyword,single,spider_pets_1_002,pets_1,Find the number of pets whose weight is heavier than 10.,"[""Find the number of pets whose weight is heavier than 10.""]",True,True,1.0,0.5,0.0,0.0,13.384,0.0,0.058,0.0,13.504,0.0,13.504,,1,none,
base,keyword,single,spider_car_1_003,car_1,How many continents are there?,"[""How many continents are there?""]",True,True,1.0,0.0,0.0,0.0,7.314,0.0,0.033,0.0,7.399,0.0,7.399,,1,none,
base,keyword,single,spider_concert_singer_004,concert_singer,What is the total number of singers?,"[""What is the total number of singers?""]",True,True,0.5,0.0,0.0,0.0,12.583,0.0,0.034,0.0,12.748,0.0,12.748,,1,none,
base,keyword,single,spider_pets_1_005,pets_1,How many pets have a greater weight than 10?,"[""How many pets have a greater weight than 10?""]",True,True,1.0,0.5,0.0,0.0,9.715,0.0,0.056,0.0,9.791,0.0,9.791,,1,none,
base,keyword,single,spider_car_1_006,car_1,What is the number of continents?,"[""What is the number of continents?""]",True,True,1.0,0.0,0.0,0.0,6.072,0.0,0.071,0.0,6.159,0.0,6.159,,1,none,
base,keyword,single,spider_concert_singer_007,concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","[""Show name, country, age for all singers ordered by age from the oldest to the youngest.""]",True,True,1.0,1.0,0.0,0.0,21.05,0.0,0.152,0.0,21.176,0.0,21.176,,1,none,
base,keyword,single,spider_pets_1_008,pets_1,Find the weight of the youngest dog.,"[""Find the weight of the youngest dog.""]",True,False,1.0,1.0,0.0,0.0,5.637,0.0,0.028,0.0,5.746,0.0,5.746,,1,retrieval_miss,task not solved
base,keyword,single,spider_car_1_009,car_1,"How many countries does each continent have? List the continent id, continent name and the number of countries.","[""How many countries does each continent have? List the continent id, continent name and the number of countries.""]",True,False,1.0,0.3333,0.0,0.0,18.293,0.0,0.083,0.0,18.413,0.0,18.413,,1,retrieval_miss,task not solved
base,keyword,single,spider_concert_singer_010,concert_singer,"What are the names, countries, and ages for every singer in descending order of age?","[""What are the names, countries, and ages for every singer in descending order of age?""]",True,False,1.0,0.3333,0.0,0.0,11.656,0.0,0.124,0.0,11.837,0.0,11.837,,1,retrieval_miss,task not solved
base,keyword,single,spider_pets_1_011,pets_1,How much does the youngest dog weigh?,"[""How much does the youngest dog weigh?""]",True,False,1.0,1.0,0.0,0.0,5.169,0.0,0.03,0.0,5.304,0.0,5.304,,1,retrieval_miss,task not solved
base,keyword,single,spider_car_1_012,car_1,"For each continent, list its id, name, and how many countries it has?","[""For each continent, list its id, name, and how many countries it has?""]",True,False,1.0,0.3333,0.0,0.0,18.429,0.0,0.136,0.0,18.542,0.0,18.542,,1,retrieval_miss,task not solved
base,keyword,multi,spider_concert_singer_001,concert_singer,How many singers do we have?,"[""singer"", ""singers count"", ""number of singers"", ""singer table""]",True,True,1.0,0.0,21832.129,0.0,22.917,0.0,0.276,0.0,23.152,21832.129,21855.281,,4,none,
base,keyword,multi,spider_pets_1_002,pets_1,Find the number of pets whose weight is heavier than 10.,"[""pets weight"", ""pet weight > 10"", ""number of pets"", ""heavier than 10""]",True,True,1.0,0.3333,911.922,0.0,13.689,0.0,0.228,0.0,13.987,911.922,925.909,,4,none,
base,keyword,multi,spider_car_1_003,car_1,How many continents are there?,"[""continents"", ""continent count"", ""number of continents"", ""continent""]",True,True,1.0,0.0,881.501,0.0,11.65,0.0,0.241,0.0,11.998,881.501,893.499,,4,none,
base,keyword,multi,spider_concert_singer_004,concert_singer,What is the total number of singers?,"[""singer count"", ""total singers"", ""singer"", ""num_singers""]",True,True,1.0,0.0,738.515,0.0,9.748,0.0,0.248,0.0,9.999,738.515,748.514,,4,none,
base,keyword,multi,spider_pets_1_005,pets_1,How many pets have a greater weight than 10?,"[""pets weight"", ""pet weight > 10"", ""animal weight"", ""pets count weight""]",True,True,1.0,0.5,830.329,0.0,11.018,0.0,0.13,0.0,11.288,830.329,841.617,,4,none,
base,keyword,multi,spider_car_1_006,car_1,What is the number of continents?,"[""continent"", ""number of continents"", ""continents count"", ""continent_id""]",True,True,1.0,0.0,761.065,0.0,7.568,0.0,0.132,0.0,7.76,761.065,768.825,,4,none,
base,keyword,multi,spider_concert_singer_007,concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","[""singer name country age"", ""singers table columns"", ""age descending order"", ""singer demographics""]",True,True,1.0,0.5,867.874,0.0,16.896,0.0,0.188,0.0,17.102,867.874,884.976,,4,none,
base,keyword,multi,spider_pets_1_008,pets_1,Find the weight of the youngest dog.,"[""weight"", ""youngest dog"", ""age"", ""dog""]",True,True,1.0,0.5,743.602,0.0,6.521,0.0,0.056,0.0,6.651,743.602,750.253,,4,none,
base,keyword,multi,spider_car_1_009,car_1,"How many countries does each continent have? List the continent id, continent name and the number of countries.","[""continent country count"", ""continent_id continent_name countries"", ""continent country relationship""]",True,False,1.0,0.3333,816.39,0.0,10.414,0.0,0.168,0.0,10.595,816.39,826.985,,3,retrieval_miss,task not solved
base,keyword,multi,spider_concert_singer_010,concert_singer,"What are the names, countries, and ages for every singer in descending order of age?","[""singer name country age"", ""singers table columns"", ""age descending order"", ""singer demographics""]",True,True,1.0,0.5,834.344,0.0,10.091,0.0,0.241,0.0,10.329,834.344,844.673,,4,none,
base,keyword,multi,spider_pets_1_011,pets_1,How much does the youngest dog weigh?,"[""youngest dog weight"", ""dog age weight"", ""pets age weight"", ""animal youngest weight""]",True,True,1.0,0.5,969.662,0.0,11.728,0.0,0.111,0.0,11.982,969.662,981.644,,4,none,
base,keyword,multi,spider_car_1_012,car_1,"For each continent, list its id, name, and how many countries it has?","[""continent id name country count"", ""continent countries"", ""continent_id continent_name country_count"", ""continents countries""]",True,True,1.0,0.3333,839.056,0.0,12.948,0.0,0.185,0.0,13.19,839.056,852.246,,4,none,
base,vector,single,spider_concert_singer_001,concert_singer,How many singers do we have?,"[""How many singers do we have?""]",True,True,1.0,0.0,0.0,436.388,0.0,17.784,0.147,0.0,454.257,436.388,454.257,True,1,none,
base,vector,single,spider_pets_1_002,pets_1,Find the number of pets whose weight is heavier than 10.,"[""Find the number of pets whose weight is heavier than 10.""]",True,True,1.0,0.5,0.0,467.173,0.0,11.175,0.133,0.0,478.51,467.173,478.51,True,1,none,
base,vector,single,spider_car_1_003,car_1,How many continents are there?,"[""How many continents are there?""]",True,True,1.0,0.0,0.0,465.384,0.0,14.598,0.083,0.0,480.063,465.384,480.063,True,1,none,
base,vector,single,spider_concert_singer_004,concert_singer,What is the total number of singers?,"[""What is the total number of singers?""]",True,True,1.0,0.0,0.0,476.495,0.0,12.796,0.136,0.0,489.368,476.495,489.368,True,1,none,
base,vector,single,spider_pets_1_005,pets_1,How many pets have a greater weight than 10?,"[""How many pets have a greater weight than 10?""]",True,True,1.0,0.5,0.0,415.48,0.0,8.335,0.07,0.0,424.016,415.48,424.016,True,1,none,
base,vector,single,spider_car_1_006,car_1,What is the number of continents?,"[""What is the number of continents?""]",True,True,1.0,0.0,0.0,494.961,0.0,19.083,0.146,0.0,514.132,494.961,514.132,True,1,none,
base,vector,single,spider_concert_singer_007,concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","[""Show name, country, age for all singers ordered by age from the oldest to the youngest.""]",True,True,1.0,0.5,0.0,498.558,0.0,11.538,0.117,0.0,510.213,498.558,510.213,True,1,none,
base,vector,single,spider_pets_1_008,pets_1,Find the weight of the youngest dog.,"[""Find the weight of the youngest dog.""]",True,True,1.0,0.5,0.0,469.178,0.0,9.646,0.099,0.0,478.985,469.178,478.985,True,1,none,
base,vector,single,spider_car_1_009,car_1,"How many countries does each continent have? List the continent id, continent name and the number of countries.","[""How many countries does each continent have? List the continent id, continent name and the number of countries.""]",True,True,1.0,0.3333,0.0,451.415,0.0,15.836,0.118,0.0,467.417,451.415,467.417,True,1,none,
base,vector,single,spider_concert_singer_010,concert_singer,"What are the names, countries, and ages for every singer in descending order of age?","[""What are the names, countries, and ages for every singer in descending order of age?""]",True,True,1.0,0.5,0.0,440.9,0.0,12.158,0.084,0.0,453.177,440.9,453.177,True,1,none,
base,vector,single,spider_pets_1_011,pets_1,How much does the youngest dog weigh?,"[""How much does the youngest dog weigh?""]",True,True,1.0,1.0,0.0,470.329,0.0,9.509,0.096,0.0,479.964,470.329,479.964,True,1,none,
base,vector,single,spider_car_1_012,car_1,"For each continent, list its id, name, and how many countries it has?","[""For each continent, list its id, name, and how many countries it has?""]",True,True,1.0,0.3333,0.0,473.886,0.0,18.085,0.119,0.0,492.057,473.886,492.057,True,1,none,
base,vector,multi,spider_concert_singer_001,concert_singer,How many singers do we have?,"[""singer"", ""singers count"", ""number of singers"", ""singer table""]",True,True,1.0,0.0,21832.129,1886.145,0.0,56.412,0.346,0.0,1942.798,23718.274,23774.927,True,4,none,
base,vector,multi,spider_pets_1_002,pets_1,Find the number of pets whose weight is heavier than 10.,"[""pets weight"", ""pet weight > 10"", ""number of pets"", ""heavier than 10""]",True,True,1.0,0.5,911.922,1906.156,0.0,40.91,0.332,0.0,1947.336,2818.078,2859.258,True,4,none,
base,vector,multi,spider_car_1_003,car_1,How many continents are there?,"[""continents"", ""continent count"", ""number of continents"", ""continent""]",True,True,1.0,0.0,881.501,1815.261,0.0,59.676,0.421,0.0,1875.181,2696.762,2756.682,True,4,none,
base,vector,multi,spider_concert_singer_004,concert_singer,What is the total number of singers?,"[""singer count"", ""total singers"", ""singer"", ""num_singers""]",True,True,1.0,0.0,738.515,1893.694,0.0,56.638,0.272,0.0,1950.616,2632.209,2689.131,True,4,none,
base,vector,multi,spider_pets_1_005,pets_1,How many pets have a greater weight than 10?,"[""pets weight"", ""pet weight > 10"", ""animal weight"", ""pets count weight""]",True,True,1.0,1.0,830.329,1848.022,0.0,41.719,0.34,0.0,1890.011,2678.351,2720.34,True,4,none,
base,vector,multi,spider_car_1_006,car_1,What is the number of continents?,"[""continent"", ""number of continents"", ""continents count"", ""continent_id""]",True,True,1.0,0.0,761.065,1967.205,0.0,58.278,0.275,0.0,2025.698,2728.27,2786.763,True,4,none,
base,vector,multi,spider_concert_singer_007,concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","[""singer name country age"", ""singers table columns"", ""age descending order"", ""singer demographics""]",True,True,1.0,0.5,867.874,1898.848,0.0,57.862,0.457,0.0,1956.988,2766.722,2824.862,True,4,none,
base,vector,multi,spider_pets_1_008,pets_1,Find the weight of the youngest dog.,"[""weight"", ""youngest dog"", ""age"", ""dog""]",True,True,1.0,1.0,743.602,1843.679,0.0,39.274,0.264,0.0,1883.201,2587.281,2626.803,True,4,none,
base,vector,multi,spider_car_1_009,car_1,"How many countries does each continent have? List the continent id, continent name and the number of countries.","[""continent country count"", ""continent_id continent_name countries"", ""continent country relationship""]",True,True,1.0,1.0,816.39,1297.062,0.0,228.801,0.313,0.0,1526.07,2113.452,2342.46,True,3,none,
base,vector,multi,spider_concert_singer_010,concert_singer,"What are the names, countries, and ages for every singer in descending order of age?","[""singer name country age"", ""singers table columns"", ""age descending order"", ""singer demographics""]",True,True,1.0,0.5,834.344,1805.604,0.0,56.205,0.447,0.0,1862.08,2639.948,2696.424,True,4,none,
base,vector,multi,spider_pets_1_011,pets_1,How much does the youngest dog weigh?,"[""youngest dog weight"", ""dog age weight"", ""pets age weight"", ""animal youngest weight""]",True,True,1.0,0.5,969.662,1958.896,0.0,39.672,0.223,0.0,1998.847,2928.558,2968.509,True,4,none,
base,vector,multi,spider_car_1_012,car_1,"For each continent, list its id, name, and how many countries it has?","[""continent id name country count"", ""continent countries"", ""continent_id continent_name country_count"", ""continents countries""]",True,True,1.0,1.0,839.056,1759.602,0.0,60.761,0.357,0.0,1820.625,2598.658,2659.681,True,4,none,
base,hybrid,single,spider_concert_singer_001,concert_singer,How many singers do we have?,"[""How many singers do we have?""]",True,True,0.25,0.0,0.0,481.382,4.529,12.1,0.188,0.0,498.221,481.382,498.221,True,1,none,
base,hybrid,single,spider_pets_1_002,pets_1,Find the number of pets whose weight is heavier than 10.,"[""Find the number of pets whose weight is heavier than 10.""]",True,True,1.0,0.5,0.0,452.658,7.948,9.69,0.282,0.0,470.575,452.658,470.575,True,1,none,
base,hybrid,single,spider_car_1_003,car_1,How many continents are there?,"[""How many continents are there?""]",True,True,1.0,0.0,0.0,479.655,5.096,20.39,0.393,0.0,505.535,479.655,505.535,True,1,none,
base,hybrid,single,spider_concert_singer_004,concert_singer,What is the total number of singers?,"[""What is the total number of singers?""]",True,True,1.0,0.0,0.0,492.854,6.428,14.844,0.184,0.0,514.324,492.854,514.324,True,1,none,
base,hybrid,single,spider_pets_1_005,pets_1,How many pets have a greater weight than 10?,"[""How many pets have a greater weight than 10?""]",True,True,1.0,0.5,0.0,443.824,5.598,10.216,0.161,0.0,459.853,443.824,459.853,True,1,none,
base,hybrid,single,spider_car_1_006,car_1,What is the number of continents?,"[""What is the number of continents?""]",True,True,1.0,0.0,0.0,478.288,6.845,19.306,0.283,0.0,504.736,478.288,504.736,True,1,none,
base,hybrid,single,spider_concert_singer_007,concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","[""Show name, country, age for all singers ordered by age from the oldest to the youngest.""]",True,True,1.0,1.0,0.0,526.606,9.334,13.777,0.272,0.0,550.072,526.606,550.072,True,1,none,
base,hybrid,single,spider_pets_1_008,pets_1,Find the weight of the youngest dog.,"[""Find the weight of the youngest dog.""]",True,True,1.0,1.0,0.0,468.431,4.272,10.573,0.285,0.0,483.483,468.431,483.483,True,1,none,
base,hybrid,single,spider_car_1_009,car_1,"How many countries does each continent have? List the continent id, continent name and the number of countries.","[""How many countries does each continent have? List the continent id, continent name and the number of countries.""]",True,True,1.0,0.2,0.0,494.401,11.094,16.635,0.363,0.0,522.524,494.401,522.524,True,1,none,
base,hybrid,single,spider_concert_singer_010,concert_singer,"What are the names, countries, and ages for every singer in descending order of age?","[""What are the names, countries, and ages for every singer in descending order of age?""]",True,True,1.0,0.3333,0.0,468.778,9.297,14.087,0.384,0.0,492.631,468.778,492.631,True,1,none,
base,hybrid,single,spider_pets_1_011,pets_1,How much does the youngest dog weigh?,"[""How much does the youngest dog weigh?""]",True,True,1.0,1.0,0.0,490.46,6.139,9.324,0.174,0.0,506.125,490.46,506.125,True,1,none,
base,hybrid,single,spider_car_1_012,car_1,"For each continent, list its id, name, and how many countries it has?","[""For each continent, list its id, name, and how many countries it has?""]",True,True,1.0,0.2,0.0,458.6,10.896,15.322,0.239,0.0,485.056,458.6,485.056,True,1,none,
base,hybrid,multi,spider_concert_singer_001,concert_singer,How many singers do we have?,"[""singer"", ""singers count"", ""number of singers"", ""singer table""]",True,True,1.0,0.0,21832.129,1942.105,12.164,55.362,0.928,0.0,2010.606,23774.234,23842.735,True,4,none,
base,hybrid,multi,spider_pets_1_002,pets_1,Find the number of pets whose weight is heavier than 10.,"[""pets weight"", ""pet weight > 10"", ""number of pets"", ""heavier than 10""]",True,True,1.0,0.5,911.922,1849.751,12.332,36.067,0.621,0.0,1898.827,2761.673,2810.749,True,4,none,
base,hybrid,multi,spider_car_1_003,car_1,How many continents are there?,"[""continents"", ""continent count"", ""number of continents"", ""continent""]",True,True,1.0,0.0,881.501,1879.546,11.53,61.85,0.866,0.0,1953.756,2761.047,2835.257,True,4,none,
base,hybrid,multi,spider_concert_singer_004,concert_singer,What is the total number of singers?,"[""singer count"", ""total singers"", ""singer"", ""num_singers""]",True,True,1.0,0.0,738.515,1733.818,9.163,50.543,0.99,0.0,1794.424,2472.333,2532.939,True,4,none,
base,hybrid,multi,spider_pets_1_005,pets_1,How many pets have a greater weight than 10?,"[""pets weight"", ""pet weight > 10"", ""animal weight"", ""pets count weight""]",True,True,1.0,0.5,830.329,1822.619,12.436,36.976,0.851,0.0,1872.7,2652.948,2703.029,True,4,none,
base,hybrid,multi,spider_car_1_006,car_1,What is the number of continents?,"[""continent"", ""number of continents"", ""continents count"", ""continent_id""]",True,True,1.0,0.0,761.065,1773.136,9.195,53.471,0.972,0.0,1836.683,2534.201,2597.748,True,4,none,
base,hybrid,multi,spider_concert_singer_007,concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","[""singer name country age"", ""singers table columns"", ""age descending order"", ""singer demographics""]",True,False,1.0,0.5,867.874,1771.516,12.326,51.657,1.187,0.0,1836.422,2639.39,2704.296,True,4,retrieval_miss,task not solved
base,hybrid,multi,spider_pets_1_008,pets_1,Find the weight of the youngest dog.,"[""weight"", ""youngest dog"", ""age"", ""dog""]",True,True,1.0,0.5,743.602,1806.68,9.321,37.945,0.691,0.0,1854.504,2550.282,2598.106,True,4,none,
base,hybrid,multi,spider_car_1_009,car_1,"How many countries does each continent have? List the continent id, continent name and the number of countries.","[""continent country count"", ""continent_id continent_name countries"", ""continent country relationship""]",True,True,1.0,1.0,816.39,1261.299,10.001,40.351,0.997,0.0,1312.674,2077.689,2129.064,True,3,none,
base,hybrid,multi,spider_concert_singer_010,concert_singer,"What are the names, countries, and ages for every singer in descending order of age?","[""singer name country age"", ""singers table columns"", ""age descending order"", ""singer demographics""]",True,False,1.0,0.5,834.344,1787.644,12.905,48.604,1.065,0.0,1850.08,2621.988,2684.424,True,4,retrieval_miss,task not solved
base,hybrid,multi,spider_pets_1_011,pets_1,How much does the youngest dog weigh?,"[""youngest dog weight"", ""dog age weight"", ""pets age weight"", ""animal youngest weight""]",True,True,1.0,1.0,969.662,1748.864,13.659,39.884,0.76,0.0,1803.035,2718.526,2772.697,True,4,none,
base,hybrid,multi,spider_car_1_012,car_1,"For each continent, list its id, name, and how many countries it has?","[""continent id name country count"", ""continent countries"", ""continent_id continent_name country_count"", ""continents countries""]",True,True,1.0,0.3333,839.056,1763.424,12.46,55.521,0.999,0.0,1832.178,2602.48,2671.234,True,4,none,
